servers's processes start in 23:19:17
iteration 325::  596.463 ms
iteration 326::  623.169 ms
iteration 327::  555.649 ms
iteration 328::  526.054 ms
iteration 329::  520.182 ms
iteration 330::  524.787 ms
iteration 331::  527.661 ms
iteration 332::  518.322 ms
iteration 333::  517.381 ms
iteration 334::  514.411 ms
iteration 335::  643.526 ms
iteration 336::  552.615 ms
iteration 337::  538.95 ms
iteration 338::  568.329 ms
iteration 339::  552.894 ms
iteration 340::  528.47 ms
iteration 341::  629.204 ms
iteration 342::  559.501 ms
iteration 343::  515.721 ms
iteration 344::  528.694 ms
iteration 345::  514.573 ms
iteration 346::  521.119 ms
iteration 347::  517.668 ms
iteration 348::  634.132 ms
iteration 349::  508.422 ms
iteration 350::  524.397 ms
iteration 351::  525.934 ms
iteration 352::  513.458 ms
iteration 353::  609.015 ms
iteration 354::  534.191 ms
iteration 355::  522.372 ms
iteration 356::  528.492 ms
iteration 357::  598.35 ms
iteration 358::  574.311 ms
iteration 359::  567.183 ms
iteration 360::  561.264 ms
iteration 361::  613.445 ms
iteration 362::  540.954 ms
iteration 363::  537.22 ms
iteration 364::  666.355 ms
iteration 365::  552.8 ms
iteration 366::  534.613 ms
iteration 367::  551.491 ms
iteration 368::  592.229 ms
iteration 369::  559.54 ms
iteration 370::  613.209 ms
iteration 371::  643.923 ms
iteration 372::  545.472 ms
iteration 373::  598.431 ms
iteration 374::  570.692 ms
iteration 375::  612.148 ms
iteration 376::  562.813 ms
iteration 377::  544.96 ms
iteration 378::  550.687 ms
iteration 379::  618.874 ms
iteration 380::  552.005 ms
iteration 381::  624.913 ms
iteration 382::  655.241 ms
iteration 383::  575.214 ms
iteration 384::  594.803 ms
iteration 385::  624.696 ms
iteration 386::  564.913 ms
iteration 387::  558.218 ms
iteration 388::  646.23 ms
iteration 389::  530.044 ms
iteration 390::  621.904 ms
iteration 391::  533.759 ms
iteration 392::  618.549 ms
iteration 393::  561.466 ms
iteration 394::  573.288 ms
iteration 395::  539.855 ms
iteration 396::  559.885 ms
iteration 397::  632.897 ms
iteration 398::  603.872 ms
iteration 399::  628.632 ms
iteration 400::  576.799 ms
iteration 401::  591.234 ms
iteration 402::  549.404 ms
iteration 403::  537.351 ms
iteration 404::  622.617 ms
iteration 405::  539.728 ms
iteration 406::  634.705 ms
iteration 407::  725.051 ms
iteration 408::  542.241 ms
iteration 409::  663.019 ms
iteration 410::  555.81 ms
iteration 411::  543.593 ms
iteration 412::  616.589 ms
iteration 413::  612.427 ms
iteration 414::  612.592 ms
iteration 415::  613.616 ms
