thread,tag,sender,reciever,begin,end,lifeSpan
0,2002,2,0,4663,4663,0
0,2002,1,0,4663,4663,0
3,1030,1,0,4663,4663,0
3,1030,1,0,4663,4666,2
0,2002,1,0,4665,4666,0
1,2001,2,0,4621,4667,46
1,2001,1,0,4667,4668,0
0,2002,1,0,4669,4671,2
6,1999,0,0,4637,4671,33
3,1030,1,0,4666,4717,51
0,2002,2,0,4718,4721,2
0,2002,1,0,4721,4721,0
6,1999,0,0,4689,4721,32
3,1030,1,0,4718,4721,3
1,2001,1,0,4668,4723,55
1,2001,2,0,4723,4728,5
1,2001,1,0,4728,4761,32
3,1030,2,0,4721,4761,39
3,1030,1,0,4761,4761,0
3,1030,1,0,4761,4761,0
1,2001,1,0,4761,4763,2
3,1030,2,0,4761,4764,2
3,1030,1,0,4764,4764,0
3,1030,1,0,4764,4764,0
0,2002,2,0,4773,4773,0
1,2001,1,0,4764,4773,9
3,1030,2,0,4764,4774,9
3,1030,2,0,4775,4775,0
1,2001,2,0,4773,4775,2
0,2002,2,0,4776,4776,0
0,2002,1,0,4776,4776,0
6,1999,0,0,4747,4776,29
0,2002,2,0,4818,4818,0
3,1030,1,0,4775,4818,42
0,2002,1,0,4818,4818,0
3,1030,1,0,4818,4818,0
1,2001,1,0,4775,4819,43
0,2002,1,0,4820,4821,0
6,1999,0,0,4789,4821,31
1,2001,2,0,4819,4821,1
1,2001,1,0,4821,4842,21
3,1030,1,0,4818,4843,24
3,1030,2,0,4843,4843,0
3,1030,1,0,4843,4843,0
1,2001,1,0,4843,4845,2
3,1030,2,0,4843,4845,2
3,1030,1,0,4845,4845,0
3,1030,1,0,4845,4845,0
1,2001,1,0,4845,4847,2
3,1030,2,0,4845,4848,2
3,1030,1,0,4848,4848,0
3,1030,1,0,4848,4848,0
1,2001,1,0,4847,4850,2
3,1030,2,0,4848,4851,3
1,2001,2,0,4850,4854,4
0,2002,2,0,4854,4854,0
0,2002,1,0,4854,4854,0
6,1999,0,0,4827,4854,27
0,2002,2,0,4888,4889,0
3,1030,2,0,4851,4889,38
1,2001,1,0,4854,4889,35
1,2001,2,0,4889,4890,0
0,2002,2,0,4891,4891,0
0,2002,1,0,4891,4891,0
6,1999,0,0,4865,4900,34
1,2001,1,0,4890,4932,41
1,2001,2,0,4932,4932,0
0,2002,2,0,4933,4933,0
0,2002,1,0,4933,4933,0
6,1999,0,0,4906,4933,26
1,2001,2,0,4932,4964,32
0,2002,2,0,4965,4965,0
0,2002,1,0,4965,4965,0
6,1999,0,0,4939,4965,25
1,2001,1,0,4965,4968,3
1,2001,1,0,4968,5005,36
3,1030,1,0,4889,5005,115
0,2002,2,0,5006,5006,0
0,2002,1,0,5006,5006,0
6,1999,0,0,4982,5006,24
1,2001,2,0,5023,5023,0
3,1030,2,0,5005,5023,18
3,1030,1,0,5023,5024,0
3,1030,1,0,5024,5024,0
1,2001,1,0,5023,5025,1
3,1030,1,0,5024,5075,51
0,2002,2,0,5075,5076,0
3,1030,1,0,5075,5087,11
