Job,nodes,ncpus,walltime,qtime,rtime
2069977.vm-pbs,1,1,96:00:00,1:20:47,0:38:47
2094633.vm-pbs,1,1,60:00:00,0:0:1,0:23:55
2075494.vm-pbs,1,1,60:00:00,0:0:1,0:58:37
2095257.vm-pbs,1,1,96:00:00,0:0:0,0:48:47
2062290.vm-pbs,1,8,24:00:00,42:42:57,0:29:35
2070579.vm-pbs,1,1,96:00:00,0:0:1,0:44:41
2089526.vm-pbs,1,1,60:00:00,0:4:21,0:20:17
2069767.vm-pbs,1,1,96:00:00,1:21:16,0:42:33
2073406.vm-pbs,1,1,01:00:00,0:5:19,0:8:18
2081653.vm-pbs,1,1,60:00:00,0:0:11,0:1:10
2078619.vm-pbs,1,1,60:00:00,0:0:0,0:0:17
2089344.vm-pbs,1,1,60:00:00,0:0:0,0:19:17
2084727.vm-pbs,1,1,60:00:00,0:0:0,0:8:27
2087094.vm-pbs,1,1,60:00:00,0:0:1,0:4:49
2081344.vm-pbs,1,1,60:00:00,0:0:1,0:1:32
2084791.vm-pbs,1,1,60:00:00,0:0:1,0:2:8
2074009.vm-pbs,1,1,96:00:00,0:2:29,1:4:2
2093443.vm-pbs,1,1,60:00:00,0:6:28,0:6:32
2068960.vm-pbs,1,1,60:00:00,0:0:0,7:58:28
2070645.vm-pbs,1,1,96:00:00,0:0:1,0:36:55
2072425.vm-pbs,1,1,01:00:00,0:15:53,0:4:31
2068578.vm-pbs,1,1,60:00:00,0:0:1,8:18:31
2093712.vm-pbs,1,1,60:00:00,0:4:30,0:27:26
2086526.vm-pbs,1,1,60:00:00,0:0:1,0:2:47
2070072.vm-pbs,1,12,50:00:00,0:0:0,4:48:34
2073968.vm-pbs,1,1,96:00:00,0:1:55,1:2:46
2090434.vm-pbs,1,1,60:00:00,0:3:44,0:3:9
2086857.vm-pbs,1,1,60:00:00,0:0:1,0:4:58
2075700.vm-pbs,1,1,01:00:00,1:34:23,0:34:18
2070674.vm-pbs,1,12,50:00:00,0:0:1,0:14:4
2070073.vm-pbs,1,1,96:00:00,0:47:9,0:45:11
2092805.vm-pbs,1,1,60:00:00,0:4:53,0:19:18
2072845.vm-pbs,1,1,60:00:00,0:45:38,8:35:24
2083417.vm-pbs,1,1,96:00:00,0:0:1,0:19:7
2093241.vm-pbs,1,1,96:00:00,1:22:8,2:6:19
2081120.vm-pbs,1,1,96:00:00,0:0:27,0:18:45
2074059.vm-pbs,1,1,96:00:00,0:0:1,1:2:9
2069160.vm-pbs,1,8,168:00:00,0:0:1,0:12:43
2092242.vm-pbs,1,1,60:00:00,0:3:51,0:19:26
2085847.vm-pbs,1,1,60:00:00,0:0:2,0:4:26
2080297.vm-pbs,1,1,96:00:00,0:1:48,0:21:23
2090311.vm-pbs,1,12,100:00:00,0:0:9,18:24:45
2085078.vm-pbs,1,1,96:00:00,1:10:24,0:45:41
2073017.vm-pbs,1,1,96:00:00,0:0:1,1:1:10
2094138.vm-pbs,1,1,60:00:00,0:0:1,0:18:47
2087791.vm-pbs,1,1,96:00:00,0:0:1,0:43:5
2085792.vm-pbs,1,1,60:00:00,0:0:1,0:6:45
2085319.vm-pbs,1,1,60:00:00,0:0:0,0:5:12
2091852.vm-pbs,1,1,10:00:00,0:0:1,0:0:20
2073599.vm-pbs,1,1,96:00:00,0:10:54,1:8:57
2095232.vm-pbs,1,1,60:00:00,0:0:1,0:25:40
2085381.vm-pbs,1,1,60:00:00,0:0:1,0:2:32
2069082.vm-pbs,1,8,168:00:00,0:0:1,0:8:37
2085464.vm-pbs,1,1,60:00:00,0:0:0,0:2:26
2069050.vm-pbs,1,12,168:00:00,0:0:2,0:10:28
2067956.vm-pbs,1,8,168:00:00,0:0:2,0:12:48
2094399.vm-pbs,1,1,60:00:00,0:0:1,0:26:23
2093110.vm-pbs,1,1,60:00:00,0:3:54,0:4:27
2068261.vm-pbs,2,24,480:00:00,7:21:15,0:25:50
2091415.vm-pbs,1,1,60:00:00,0:4:23,0:5:53
2086537.vm-pbs,1,1,60:00:00,0:0:0,0:6:20
2092135.vm-pbs,1,1,60:00:00,0:7:25,0:5:58
2089474.vm-pbs,1,1,60:00:00,0:5:51,0:5:55
2093413.vm-pbs,1,1,60:00:00,0:6:42,0:4:0
2092543.vm-pbs,1,1,60:00:00,0:7:2,0:5:1
2071545.vm-pbs,1,12,50:00:00,0:0:3,0:0:11
2092207.vm-pbs,1,1,60:00:00,0:3:43,0:2:58
2074417.vm-pbs,1,1,01:00:00,0:0:2,0:4:23
2090795.vm-pbs,1,1,48:00:00,3:58:38,13:32:39
2086286.vm-pbs,1,1,60:00:00,0:0:1,0:5:23
2093177.vm-pbs,1,1,60:00:00,0:7:7,0:3:37
2074393.vm-pbs,1,1,60:00:00,1:44:8,1:11:26
2086348.vm-pbs,1,1,60:00:00,0:0:0,0:2:8
2072833.vm-pbs,1,1,60:00:00,0:42:41,8:19:38
2088052.vm-pbs,1,1,96:00:00,0:0:1,0:35:11
2088044.vm-pbs,1,1,96:00:00,0:0:1,0:35:12
2095227.vm-pbs,1,1,60:00:00,0:0:11,0:26:36
2073978.vm-pbs,1,1,96:00:00,0:8:58,1:2:0
2069255.vm-pbs,1,1,60:00:00,0:0:0,8:3:11
2086753.vm-pbs,1,1,60:00:00,0:0:1,0:5:27
2082939.vm-pbs,1,1,60:00:00,0:0:1,0:0:21
2076597.vm-pbs,1,1,60:00:00,0:0:0,0:0:1
2093477.vm-pbs,1,1,60:00:00,0:3:42,0:7:18
2081840.vm-pbs,1,1,01:00:00,0:16:0,0:12:23
2093996.vm-pbs,1,1,60:00:00,0:0:1,0:24:21
2094509.vm-pbs,1,1,60:00:00,0:0:1,0:25:17
2081585.vm-pbs,1,1,96:00:00,0:0:28,0:18:1
2073964.vm-pbs,1,1,96:00:00,0:3:33,1:3:38
2078963.vm-pbs,1,1,60:00:00,0:0:1,0:0:3
2083062.vm-pbs,1,1,60:00:00,0:0:0,0:0:44
2082801.vm-pbs,1,1,60:00:00,0:0:1,0:0:34
2081883.vm-pbs,1,1,01:00:00,0:27:47,0:10:36
2081345.vm-pbs,1,1,60:00:00,0:0:0,0:1:32
2068905.vm-pbs,1,8,168:00:00,0:0:1,0:14:57
2069492.vm-pbs,1,1,48:00:00,0:0:0,31:27:56
2094860.vm-pbs,1,1,60:00:00,0:0:1,0:24:39
2067487.vm-pbs,1,1,60:00:00,0:0:1,8:23:23
2081314.vm-pbs,1,1,60:00:00,0:0:1,0:2:24
2085772.vm-pbs,1,1,60:00:00,0:0:1,0:3:55
2069997.vm-pbs,1,1,96:00:00,0:41:35,0:38:17
2080845.vm-pbs,1,1,96:00:00,0:0:43,0:19:51
2094406.vm-pbs,1,1,60:00:00,0:0:1,0:27:31
2070730.vm-pbs,1,1,96:00:00,0:0:1,0:39:59
2091992.vm-pbs,1,1,60:00:00,0:4:57,0:3:27
2090378.vm-pbs,1,1,60:00:00,0:6:11,0:4:4
2072844.vm-pbs,1,1,60:00:00,0:46:0,8:6:14
2086439.vm-pbs,1,1,96:00:00,0:0:16,0:36:11
2070018.vm-pbs,1,1,96:00:00,0:41:1,0:37:50
2069955.vm-pbs,1,1,96:00:00,0:43:2,0:39:43
2068957.vm-pbs,1,8,168:00:00,0:0:57,0:10:20
2084952.vm-pbs,1,1,60:00:00,0:0:1,0:3:48
2083073.vm-pbs,1,1,60:00:00,0:0:0,0:0:26
2089404.vm-pbs,1,1,60:00:00,0:0:1,0:3:52
2080931.vm-pbs,1,1,96:00:00,0:1:21,0:19:53
