,thread,time,event
,6,4151,tasks.size = 12
,0,4154,worker is executing own tasks
,0,4177,worker is executing another tasks
,0,4177,worker try execute another tasks from 1 rank
,0,4178,rank 1 haven't tasks
,0,4178,worker try execute another tasks from 0 rank
,0,4178,rank 0 haven't tasks
,0,4178,worker finished job
,6,4181,tasks.size = 12
,0,4183,worker is executing own tasks
,0,4207,worker is executing another tasks
,0,4207,worker try execute another tasks from 1 rank
,0,4207,rank 1 haven't tasks
,0,4207,worker try execute another tasks from 0 rank
,0,4208,rank 0 haven't tasks
,0,4208,worker finished job
,6,4211,tasks.size = 12
,0,4213,worker is executing own tasks
,0,4237,worker is executing another tasks
,0,4237,worker try execute another tasks from 1 rank
,0,4237,rank 1 haven't tasks
,0,4237,worker try execute another tasks from 0 rank
,0,4237,rank 0 haven't tasks
,0,4237,worker finished job
,6,4240,tasks.size = 12
,0,4242,worker is executing own tasks
,0,4266,worker is executing another tasks
,0,4266,worker try execute another tasks from 1 rank
,3,4278,task 21 pass to 2
,0,4283,worker executed 21 task
,0,4283,worker try execute another tasks from 1 rank
,0,4284,rank 1 haven't tasks
,0,4284,worker try execute another tasks from 0 rank
,0,4287,rank 0 haven't tasks
,0,4287,worker finished job
,6,4292,tasks.size = 13
,0,4297,worker is executing own tasks
,3,4323,task 14 pass to 1
,3,4333,change location in 1 for task 21 counter was 1
,0,4334,worker is executing another tasks
,0,4334,worker try execute another tasks from 1 rank
,0,4339,rank 1 haven't tasks
,3,4339,change location in 0 for task 21 counter was 0
,3,4339,map changed for task 21; sendedTaskCounter.size = 0
,3,4340,delete task 21
,0,4343,worker try execute another tasks from 0 rank
,0,4359,rank 0 haven't tasks
,0,4359,worker finished job
,6,4375,tasks.size = 12
,0,4404,worker is executing own tasks
,3,4419,delete task 23
,3,4419,change location in 0 for task 23 counter was 1
,3,4422,change location in 1 for task 23 counter was 0
,3,4422,map changed for task 23; sendedTaskCounter.size = 1
,3,4422,change location in 1 for task 28 counter was 1
,3,4422,delete task 28
,3,4422,change location in 0 for task 28 counter was 0
,3,4422,map changed for task 28; sendedTaskCounter.size = 0
,3,4426,delete task 22
,3,4426,change location in 1 for task 22 counter was 1
,3,4426,change location in 0 for task 22 counter was 0
,3,4426,map changed for task 22; sendedTaskCounter.size = 0
,0,4426,worker is executing another tasks
,0,4426,worker try execute another tasks from 1 rank
,3,4427,task 15 pass to 2
,0,4429,worker executed 15 task
,0,4429,worker try execute another tasks from 1 rank
,3,4431,task 25 pass to 2
,3,4431,task 20 pass to 0
,0,4433,worker executed 25 task
,0,4433,worker try execute another tasks from 1 rank
,3,4434,task 14 pass to 2
,0,4437,worker executed 14 task
,0,4438,worker try execute another tasks from 1 rank
,0,4448,rank 1 haven't tasks
,0,4448,worker try execute another tasks from 0 rank
,0,4448,rank 0 haven't tasks
,0,4448,worker finished job
,6,4458,tasks.size = 12
,0,4473,worker is executing own tasks
,3,4490,task 12 pass to 1
,3,4494,task 29 pass to 1
,3,4496,task 21 pass to 1
,3,4499,task 23 pass to 1
,0,4502,worker is executing another tasks
,0,4502,worker try execute another tasks from 1 rank
,0,4502,rank 1 haven't tasks
,0,4502,worker try execute another tasks from 0 rank
,3,4504,task 20 pass to 1
,0,4504,rank 0 haven't tasks
,0,4504,worker finished job
,6,4520,tasks.size = 12
,0,4560,worker is executing own tasks
,3,4579,change location in 1 for task 26 counter was 1
,3,4580,delete task 26
,3,4580,change location in 0 for task 26 counter was 0
,3,4580,map changed for task 26; sendedTaskCounter.size = 0
,3,4582,change location in 1 for task 25 counter was 1
,3,4582,change location in 0 for task 25 counter was 0
,3,4582,map changed for task 25; sendedTaskCounter.size = 0
,3,4582,delete task 25
,3,4584,task 21 pass to 0
,0,4585,worker is executing another tasks
,0,4585,worker try execute another tasks from 1 rank
,3,4586,task 20 pass to 2
,0,4590,worker executed 20 task
,0,4590,worker try execute another tasks from 1 rank
,0,4590,rank 1 haven't tasks
,0,4590,worker try execute another tasks from 0 rank
,0,4590,rank 0 haven't tasks
,0,4590,worker finished job
,6,4591,tasks.size = 11
,0,4594,worker is executing own tasks
,3,4619,change location in 1 for task 20 counter was 1
,3,4619,change location in 0 for task 20 counter was 0
,3,4619,map changed for task 20; sendedTaskCounter.size = 0
,0,4619,worker is executing another tasks
,0,4619,worker try execute another tasks from 1 rank
,3,4619,delete task 20
,0,4619,rank 1 haven't tasks
,0,4619,worker try execute another tasks from 0 rank
,0,4621,rank 0 haven't tasks
,0,4621,worker finished job
,6,4635,tasks.size = 10
,0,4637,worker is executing own tasks
,0,4662,worker is executing another tasks
,0,4662,worker try execute another tasks from 1 rank
,3,4663,task 12 pass to 2
,3,4663,task 29 pass to 0
,3,4666,task 20 pass to 0
,0,4667,worker executed 12 task
,0,4667,worker try execute another tasks from 1 rank
,0,4667,rank 1 haven't tasks
,0,4667,worker try execute another tasks from 0 rank
,0,4667,rank 0 haven't tasks
,0,4667,worker finished job
,6,4672,tasks.size = 11
,0,4689,worker is executing own tasks
,0,4717,worker is executing another tasks
,0,4717,worker try execute another tasks from 1 rank
,3,4717,task 17 pass to 2
,0,4721,worker executed 17 task
,0,4721,worker try execute another tasks from 1 rank
,3,4721,task 23 pass to 2
